id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.245728,9080928993,15,11057879259,373021513.0,0.255053,0.244933,-0.009116444600413887,-3.57726,-354477328.27858734,-3.75688,36954807980.68808,45000000000.0,45000000000.0,3.09,-92.03969,2021-09-02T06:00:10.474Z,0.01925275,1176.32534,2020-03-13T02:22:55.044Z,,2026-04-19T09:11:26.146Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,442.39,8859282883,16,8859407323,152157734.0,450.66,440.34,-8.268003320757032,-1.83466,-177726738.9229679,-1.96665,20023146.77165078,20023428.02165078,21000000.0,3785.82,-88.31463,2017-12-20T00:00:00.000Z,76.93,475.01552,2018-12-16T00:00:00.000Z,,2026-04-19T09:11:26.034Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,9.17,6672644261,17,9177065784,342716476.0,9.49,9.13,-0.2988117404805912,-3.15474,-227765255.07390213,-3.30075,727099970.4523476,1000000000.0,1000000000.0,52.7,-82.5927,2021-05-10T00:13:57.214Z,0.148183,6090.34788,2017-11-29T00:00:00.000Z,,2026-04-19T09:11:26.180Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,352.88,6512780270,18,6512780270,110531688.0,354.87,342.81,2.72,0.77705,81658087.0,1.26973,18446744.07370955,18446744.07370955,,797.73,-55.76422,2026-01-14T19:34:07.049Z,0.216177,163138.81547,2015-01-14T00:00:00.000Z,,2026-04-19T09:11:25.373Z
memecore,m,MemeCore,https://coin-images.coingecko.com/coins/images/53247/large/square-bg-transparent.png?1752637478,3.45,6081778294,19,18527143711,20640549.0,4.63,3.42,-1.0604366249839194,-23.52675,-1826073382.7154694,-23.0919,1759218762.083758,5359172473.288955,10000000000.0,4.65,-25.5238,2026-04-18T06:15:24.842Z,0.04746135,7198.65841,2025-07-04T03:56:17.448Z,,2026-04-19T09:11:23.900Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.999418,5769114729,20,5769114729,347610560.0,1.0,0.999141,-0.000543813457953291,-0.05438,-62619827.14161587,-1.07378,5772419816.357787,5772419816.357787,,1.034,-3.34455,2025-12-09T17:10:12.652Z,0.929486,7.52613,2024-10-04T07:57:15.809Z,,2026-04-19T09:11:22.716Z
canton-network,cc,Canton,https://coin-images.coingecko.com/coins/images/70468/large/Canton-Ticker_%281%29.png?1762826299,0.147701,5663493315,21,5663493315,5736742.0,0.148266,0.144952,0.00018545,0.12572,2512637.0,0.04439,38338316602.54816,38338316602.54816,,0.194152,-23.81122,2026-02-03T08:02:08.411Z,0.059024,150.61272,2025-12-06T10:32:09.784Z,,2026-04-19T09:11:25.661Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.168153,5581796735,22,8412233441,90642081.0,0.171689,0.167724,-0.003536436529866988,-2.05979,-128158975.21930313,-2.24448,33177848979.69121,50001786868.73495,,0.875563,-80.7984,2018-01-03T00:00:00.000Z,0.00047612,35210.61375,2015-03-05T00:00:00.000Z,,2026-04-19T09:11:20.753Z
zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,323.7,5386154813,23,5386183091,270135321.0,332.22,318.83,-8.526200591964027,-2.56641,-159195068.16360378,-2.87078,16666293.9155448,16666381.4155448,21000000.0,3191.93,-89.8589,2016-10-29T00:00:00.000Z,16.08,1913.02304,2024-07-05T04:22:29.321Z,,2026-04-19T09:11:23.748Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999432,4370241198,24,4370241198,129994981.0,0.999763,0.999377,-0.000232489896942245,-0.02326,29972577.0,0.69057,4371819913.47261,4371819913.47261,,1.22,-17.99079,2020-03-13T03:02:50.373Z,0.88196,13.34249,2023-03-11T07:50:50.514Z,,2026-04-19T09:11:26.037Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,55.13,4250048573,25,4250415978,277530161.0,56.32,54.94,-1.005240830920748,-1.79066,-91330974.41832495,-2.10373,77070076.98347135,77076739.48347135,84000000.0,410.26,-86.54829,2021-05-10T03:13:07.904Z,1.15,4703.70082,2015-01-14T00:00:00.000Z,,2026-04-19T09:11:21.802Z
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,0.999971,4208195629,26,4208195629,825446666.0,1.001,0.999544,0.00042665,0.04268,12429281.0,0.29623,4208738564.24968,4208738564.24968,,1.025,-2.42022,2025-05-12T12:36:39.412Z,0.989633,1.04991,2025-10-01T08:51:32.103Z,,2026-04-19T09:11:24.821Z
paypal-usd,pyusd,PayPal USD,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Token_Logo_2x.png?1765987788,0.999771,4115175195,27,4121971123,145588198.0,1.0,0.999527,-0.000194892660086543,-0.01949,3388808.0,0.08242,4116098053.606263,4122895505.609131,,1.081,-7.49684,2026-04-02T07:35:31.426Z,0.959426,4.20991,2024-12-05T22:31:13.430Z,,2026-04-19T09:11:22.367Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,9.21,3974675256,28,4266205043,260778860.0,9.55,9.15,-0.33851718966156064,-3.54702,-151630145.5423746,-3.67472,431771961.1772119,463441061.1772119,720000000.0,144.96,-93.65448,2021-11-21T14:18:56.538Z,2.8,228.39446,2020-12-31T13:15:21.540Z,,2026-04-19T09:11:21.019Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.088137,3821769801,29,4410897902,55748357.0,0.089451,0.087748,-0.000833075760158133,-0.93636,-41311272.20271444,-1.06939,43321902768.53487,50000000000.0,50000000000.0,0.569229,-84.49387,2021-09-15T10:40:28.318Z,0.00986111,795.08578,2020-01-02T17:30:24.852Z,,2026-04-19T09:11:23.259Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,0.944923,3736813768,30,9452178453,358557058.0,0.988486,0.939832,-0.04291350464002419,-4.34419,-171963472.1017666,-4.39942,3953388932.071221,10000000000.0,10000000000.0,5.35,-82.32654,2025-01-04T22:56:18.063Z,0.364846,158.99215,2023-10-19T10:40:30.078Z,,2026-04-19T09:11:22.217Z
rain,rain,Rain,https://coin-images.coingecko.com/coins/images/69134/large/Rain_logo_1_.png?1762952191,0.00762518,3648198084,31,8769684521,11181030.0,0.00774066,0.00760317,-0.000115479317293666,-1.49185,-55828616.926820755,-1.50724,478359363558.51056,1149899377665.003,1150000000000.0,0.01090099,-30.04263,2026-02-09T16:50:09.904Z,0.00222126,243.32076,2025-09-14T08:56:57.416Z,,2026-04-19T09:11:28.093Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,5.99e-06,3531671319,32,3533209137,103561774.0,6.22e-06,5.97e-06,-2.10268515994e-07,-3.39036,-130142597.05742979,-3.55405,589243466229713.1,589500044135148.2,,8.616e-05,-93.04577,2021-10-28T03:54:55.568Z,5.6366e-11,10629781.89678,2020-11-28T11:26:25.838Z,,2026-04-19T09:11:21.371Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,1.29,3216706927,33,6674757509,161948824.0,1.4,1.26,-0.1121135116207117,-7.98147,-277753473.03631926,-7.94839,2489180379.467382,5165119423.204553,,8.25,-84.33436,2024-06-15T00:36:51.509Z,0.519364,148.95469,2021-09-21T00:33:11.092Z,,2026-04-19T09:11:21.686Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.069515,3027158122,34,6854175636,9124952.0,0.07108,0.069281,-0.001501874398748826,-2.11481,-68607354.99661016,-2.21617,43530931592.46075,98563946344.30386,100000000000.0,0.891544,-92.19912,2021-11-24T00:00:00.000Z,0.0121196,473.8501,2019-02-08T00:00:00.000Z,,2026-04-19T09:11:25.857Z
hashnote-usyc,usyc,Circle USYC,https://coin-images.coingecko.com/coins/images/51054/large/Hashnote_SDYC_200x200.png?1730370965,1.12,2917316871,35,2917316871,112099.0,,,,,,,2602451727.473975,2602451727.473975,,1.12,-0.09236,2026-04-08T14:31:05.529Z,1.026,9.24713,2024-12-05T22:31:20.475Z,,2026-04-09T23:06:04.591Z
tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/logo.png?1774627372,4780.95,2677033480,36,3383938074,81227759.0,4804.31,4772.61,-21.33656323656851,-0.4443,-12247073.373004913,-0.4554,559898.736688,707747.089,,5504.62,-13.14634,2026-01-29T00:00:00.000Z,1447.84,230.21302,2020-03-19T13:45:41.821Z,,2026-04-19T09:11:21.241Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2495154987,37,2495154987,0.0,1.0,1.0,0.0,0.0,-626995.5399999619,-0.02512,2495154986.550449,2495154986.550449,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2026-04-19T09:00:13.215Z
